registrar_id,hostname,ip,timestamp
136,co.crow-wing.mn.us.,136.234.7.5,2016-11-01 13:19:52.740
136,co.crow-wing.mn.us.,136.234.7.5,2016-11-01 13:19:54.424
136,co.crow-wing.mn.us.,136.234.7.5,2016-11-01 13:20:46.724
136,co.crow-wing.mn.us.,136.234.7.5,2016-11-01 13:46:25.938
1636,mail0.ess.barracuda.com.,64.235.153.11,2016-10-28 18:47:11.203
2086,google-proxy-66-249-84-8.google.com.,66.249.84.8,2016-10-28 18:47:47.671
2086,google-proxy-66-249-84-8.google.com.,67.250.58.157,2016-10-28 18:59:16.517
6253,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-28 18:48:08.172
3841,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-28 18:48:35.730
7756,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-28 18:49:05.074
9315,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-28 18:49:20.983
7189,mail0.ess.barracuda.com.,64.235.153.7,2016-10-28 18:49:26.282
7189,mail0.ess.barracuda.com.,199.103.32.29,2016-10-28 19:37:26.113
5488,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-28 18:49:32.923
6510,mail14.ess.barracuda.com.,64.235.154.104,2016-10-28 18:48:32.860
6510,mail14.ess.barracuda.com.,64.250.229.66,2016-10-28 18:49:47.398
6510,mail14.ess.barracuda.com.,64.250.229.66,2016-10-28 18:49:49.818
6510,mail14.ess.barracuda.com.,67.250.58.157,2016-10-28 19:00:14.089
6836,mail.co.asotin.wa.us.,67.60.172.109,2016-10-28 18:48:57.934
6836,mail.co.asotin.wa.us.,67.60.172.109,2016-10-28 18:51:28.298
6836,mail.co.asotin.wa.us.,67.60.172.109,2016-10-28 18:51:29.305
6836,mail.co.asotin.wa.us.,67.60.172.109,2016-10-28 18:53:46.962
6836,mail.co.asotin.wa.us.,67.60.172.109,2016-10-28 18:53:46.958
919,host-198-237-74-65.co.morrow.or.us.,198.237.74.65,2016-10-28 18:53:39.052
919,host-198-237-74-65.co.morrow.or.us.,198.237.74.65,2016-10-28 18:53:39.409
1135,,199.68.130.90,2016-10-28 18:54:35.115
1135,,199.68.130.90,2016-10-28 18:54:35.599
9523,kc.co.kern.ca.us.,206.169.45.183,2016-10-28 18:56:46.291
3935,,12.109.138.62,2016-10-28 18:53:11.458
3935,,67.250.58.157,2016-10-28 18:58:47.194
8114,exchange1.mono.ca.gov.,162.252.90.173,2016-10-28 18:50:46.121
8114,exchange1.mono.ca.gov.,162.252.90.173,2016-10-28 18:51:20.229
8114,exchange1.mono.ca.gov.,162.252.90.173,2016-10-28 18:51:21.234
8114,exchange1.mono.ca.gov.,162.252.90.173,2016-10-28 18:53:50.241
8114,exchange1.mono.ca.gov.,67.250.58.157,2016-10-28 19:00:05.229
6347,mail1.co.wahkiakum.wa.us.,198.239.82.132,2016-10-28 18:53:45.360
6347,mail1.co.wahkiakum.wa.us.,198.239.82.132,2016-10-28 18:53:45.362
6347,mail1.co.wahkiakum.wa.us.,67.250.58.157,2016-10-28 19:00:20.626
7886,,64.126.141.62,2016-10-28 19:02:08.522
7886,,64.126.141.62,2016-10-28 19:02:33.561
7886,,64.126.141.62,2016-10-28 19:02:34.412
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 18:57:28.385
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 18:57:28.686
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 19:02:18.279
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 19:02:19.283
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 19:06:06.850
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 19:06:07.903
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 19:07:14.518
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 19:08:40.194
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 19:08:51.840
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 19:08:52.851
3463,ip-74-127-123-98.countyofplumas.com.,74.127.123.98,2016-10-28 19:17:32.217
