registrar_id,hostname,ip,timestamp,gmail_proxy
7847,cpe-76-179-198-60.maine.res.rr.com.,76.179.198.60,2016-10-31 16:13:57.329,FALSE
3815,165-234-251-37.state.nd.us.,165.234.251.37,2016-10-31 16:14:04.774,FALSE
3815,165-234-251-37.state.nd.us.,165.234.251.37,2016-10-31 16:14:05.029,FALSE
5801,mail.deafsmithcounty.texas.gov.,96.46.117.114,2016-10-31 16:09:47.154,FALSE
5801,mail.deafsmithcounty.texas.gov.,96.46.117.114,2016-10-31 16:09:47.281,FALSE
5801,mail.deafsmithcounty.texas.gov.,96.46.117.114,2016-10-31 16:14:20.406,FALSE
5801,mail.deafsmithcounty.texas.gov.,96.46.117.114,2016-10-31 18:33:49.826,FALSE
7792,mail.northhudsonvillage.org.,173.11.50.17,2016-10-31 16:14:49.347,FALSE
7792,mail.northhudsonvillage.org.,173.11.50.17,2016-10-31 16:14:49.359,FALSE
5735,ip-161-77-57-231.crocker.net.,161.77.57.231,2016-10-31 14:57:43.417,FALSE
5735,ip-161-77-57-231.crocker.net.,161.77.57.231,2016-10-31 14:57:43.417,FALSE
5735,ip-161-77-57-231.crocker.net.,161.77.57.231,2016-10-31 15:06:27.840,FALSE
5735,ip-161-77-57-231.crocker.net.,161.77.57.231,2016-10-31 15:06:28.110,FALSE
5735,ip-161-77-57-231.crocker.net.,161.77.57.231,2016-10-31 16:14:55.022,FALSE
5735,ip-161-77-57-231.crocker.net.,161.77.57.231,2016-10-31 16:14:55.354,FALSE
5640,68-117-102-122.static.eucl.wi.charter.com.,68.117.102.122,2016-10-31 16:15:30.620,FALSE
5640,68-117-102-122.static.eucl.wi.charter.com.,68.117.102.122,2016-10-31 16:15:31.498,FALSE
9323,host-69-144-107-146.static.bresnan.net.,69.144.107.146,2016-10-31 16:15:31.669,FALSE
9323,host-69-144-107-146.static.bresnan.net.,69.144.107.146,2016-10-31 16:15:31.669,FALSE
9323,host-69-144-107-146.static.bresnan.net.,69.144.107.146,2016-11-01 15:33:37.308,FALSE
5546,c-73-18-171-16.hsd1.mi.comcast.net.,73.18.171.16,2016-10-31 14:37:27.343,FALSE
5546,c-73-18-171-16.hsd1.mi.comcast.net.,73.18.171.16,2016-10-31 14:37:44.016,FALSE
5546,c-73-18-171-16.hsd1.mi.comcast.net.,50.197.99.134,2016-10-31 16:15:35.447,FALSE
5546,c-73-18-171-16.hsd1.mi.comcast.net.,50.197.99.134,2016-11-02 13:12:22.939,FALSE
1703,,161.7.59.20,2016-10-31 16:15:51.199,FALSE
1703,,161.7.59.20,2016-10-31 16:15:51.233,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 14:40:12.421,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 14:40:13.383,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 14:40:25.681,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 14:40:26.516,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 15:50:35.361,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 15:51:16.899,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 15:51:17.907,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 16:14:57.444,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 16:14:59.861,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 16:15:51.617,FALSE
5773,207-174-253-182.ptldmi.fnw.us.,207.174.253.182,2016-10-31 16:16:16.768,FALSE
6754,h69-129-206-76.mdsnwi.broadband.dynamic.tds.net.,69.129.206.76,2016-10-31 16:15:52.726,FALSE
3303,mail0.ess.barracuda.com.,64.235.153.8,2016-10-31 15:08:55.851,FALSE
3303,mail0.ess.barracuda.com.,173.221.191.162,2016-10-31 16:15:01.908,FALSE
3303,mail0.ess.barracuda.com.,64.235.154.194,2016-10-31 16:16:06.644,FALSE
623,google-proxy-66-102-8-200.google.com.,66.102.8.200,2016-10-31 16:16:31.586,TRUE
8163,,165.234.252.11,2016-10-31 16:16:57.349,FALSE
8163,,165.234.252.11,2016-10-31 16:16:58.106,FALSE
8254,165-234-251-29.state.nd.us.,165.234.251.29,2016-10-31 16:17:04.200,FALSE
8254,165-234-251-29.state.nd.us.,165.234.251.29,2016-10-31 16:17:04.200,FALSE
2560,96-46-217-195.new.brazosnet.com.,96.46.217.195,2016-10-31 15:29:28.975,FALSE
2560,96-46-217-195.new.brazosnet.com.,96.46.217.195,2016-10-31 15:29:28.987,FALSE
2560,96-46-217-195.new.brazosnet.com.,96.46.217.195,2016-10-31 16:17:23.012,FALSE
